total_goals,gender
3,Women
2,Women
5,Women
6,Women
4,Women
3,Women
3,Women
1,Women
5,Women
1,Women
3,Women
3,Women
1,Women
5,Women
3,Women
2,Women
8,Women
2,Women
4,Women
7,Women
3,Women
3,Women
3,Women
1,Women
3,Women
1,Women
8,Women
1,Women
3,Women
3,Women
4,Women
3,Women
11,Women
4,Women
4,Women
2,Women
5,Women
3,Women
5,Women
5,Women
1,Women
0,Women
2,Women
2,Women
4,Women
2,Women
2,Women
4,Women
2,Women
7,Women
1,Women
3,Women
9,Women
4,Women
2,Women
1,Women
3,Women
3,Women
1,Women
5,Women
3,Women
4,Women
5,Women
2,Women
1,Women
3,Women
3,Women
2,Women
1,Women
2,Women
1,Women
1,Women
4,Women
1,Women
4,Women
3,Women
1,Women
3,Women
5,Women
3,Women
6,Women
1,Women
2,Women
4,Women
3,Women
0,Women
3,Women
3,Women
2,Women
1,Women
4,Women
4,Women
4,Women
4,Women
3,Women
4,Women
1,Women
1,Women
4,Women
10,Women
6,Women
1,Women
6,Women
4,Women
2,Women
2,Women
1,Women
2,Women
1,Women
0,Women
2,Women
5,Women
11,Women
3,Women
2,Women
0,Women
1,Women
4,Women
2,Women
3,Women
2,Women
4,Women
4,Women
4,Women
1,Women
3,Women
1,Women
2,Women
1,Women
3,Women
5,Women
3,Women
5,Women
1,Women
1,Women
3,Women
1,Women
3,Women
2,Women
3,Women
2,Women
1,Women
1,Women
3,Women
2,Women
3,Women
1,Women
7,Women
4,Women
3,Women
1,Women
4,Women
3,Women
3,Women
3,Women
0,Women
1,Women
1,Women
2,Women
13,Women
2,Women
3,Women
1,Women
1,Women
5,Women
5,Women
3,Women
1,Women
4,Women
2,Women
6,Women
3,Women
1,Women
3,Women
4,Women
0,Women
5,Women
1,Women
2,Women
6,Women
3,Women
3,Women
2,Women
2,Women
3,Women
2,Women
3,Women
3,Women
3,Women
1,Women
2,Women
3,Women
3,Women
3,Women
2,Women
3,Women
3,Women
1,Women
3,Women
2,Women
1,Men
8,Men
2,Men
3,Men
1,Men
2,Men
4,Men
4,Men
3,Men
1,Men
2,Men
2,Men
4,Men
2,Men
2,Men
2,Men
5,Men
1,Men
2,Men
0,Men
1,Men
4,Men
3,Men
4,Men
3,Men
1,Men
2,Men
1,Men
3,Men
2,Men
4,Men
2,Men
2,Men
2,Men
3,Men
6,Men
0,Men
4,Men
5,Men
2,Men
7,Men
1,Men
2,Men
3,Men
5,Men
2,Men
1,Men
4,Men
3,Men
1,Men
2,Men
3,Men
2,Men
2,Men
1,Men
3,Men
3,Men
1,Men
0,Men
1,Men
1,Men
1,Men
5,Men
2,Men
6,Men
2,Men
3,Men
1,Men
0,Men
1,Men
4,Men
1,Men
4,Men
2,Men
3,Men
1,Men
0,Men
3,Men
1,Men
4,Men
4,Men
3,Men
2,Men
1,Men
6,Men
0,Men
3,Men
2,Men
2,Men
2,Men
2,Men
2,Men
0,Men
4,Men
4,Men
2,Men
3,Men
3,Men
2,Men
4,Men
2,Men
5,Men
0,Men
3,Men
4,Men
2,Men
3,Men
5,Men
1,Men
2,Men
2,Men
1,Men
3,Men
2,Men
1,Men
1,Men
1,Men
0,Men
3,Men
4,Men
2,Men
3,Men
1,Men
0,Men
2,Men
1,Men
4,Men
2,Men
2,Men
0,Men
1,Men
2,Men
2,Men
1,Men
4,Men
1,Men
2,Men
1,Men
2,Men
3,Men
0,Men
2,Men
1,Men
3,Men
1,Men
5,Men
2,Men
3,Men
0,Men
1,Men
4,Men
3,Men
2,Men
1,Men
4,Men
2,Men
2,Men
1,Men
7,Men
2,Men
2,Men
1,Men
4,Men
3,Men
3,Men
1,Men
1,Men
1,Men
3,Men
4,Men
0,Men
5,Men
3,Men
3,Men
0,Men
0,Men
3,Men
3,Men
4,Men
5,Men
3,Men
3,Men
0,Men
1,Men
3,Men
2,Men
4,Men
1,Men
5,Men
1,Men
5,Men
1,Men
4,Men
4,Men
1,Men
6,Men
3,Men
3,Men
3,Men
4,Men
3,Men
3,Men
3,Men
4,Men
3,Men
0,Men
3,Men
0,Men
2,Men
5,Men
4,Men
2,Men
3,Men
0,Men
3,Men
3,Men
1,Men
7,Men
1,Men
4,Men
1,Men
1,Men
6,Men
4,Men
3,Men
5,Men
4,Men
2,Men
0,Men
3,Men
1,Men
5,Men
4,Men
0,Men
3,Men
5,Men
2,Men
1,Men
3,Men
1,Men
2,Men
2,Men
2,Men
3,Men
2,Men
3,Men
1,Men
3,Men
3,Men
1,Men
1,Men
0,Men
8,Men
0,Men
3,Men
1,Men
5,Men
1,Men
1,Men
6,Men
3,Men
2,Men
1,Men
2,Men
1,Men
1,Men
2,Men
1,Men
3,Men
3,Men
3,Men
3,Men
4,Men
1,Men
1,Men
1,Men
2,Men
1,Men
3,Men
2,Men
2,Men
3,Men
7,Men
3,Men
3,Men
7,Men
4,Men
3,Men
3,Men
3,Men
4,Men
2,Men
2,Men
0,Men
3,Men
3,Men
2,Men
3,Men
2,Men
4,Men
1,Men
1,Men
3,Men
1,Men
7,Men
3,Men
2,Men
2,Men
2,Men
5,Men
1,Men
2,Men
2,Men
3,Men
2,Men
4,Men
1,Men
3,Men
2,Men
6,Men
2,Men
2,Men
8,Men
2,Men
3,Men
0,Men
0,Men
5,Men
3,Men
7,Men
0,Men
1,Men
1,Men
2,Men
0,Men
5,Men
4,Men
2,Men
2,Men
0,Men
2,Men
2,Men
1,Men
3,Men
1,Men
2,Men
2,Men
5,Men
6,Men
1,Men
5,Men
2,Men
3,Men
2,Men
3,Men
1,Men
2,Men
3,Men
1,Men
1,Men
3,Men
6,Men
0,Men
3,Men
5,Men
1,Men
2,Men
3,Men
4,Men
3,Men
4,Men
3,Men
2,Men
5,Men
0,Men
7,Men
2,Men
4,Men
1,Men
3,Men
3,Men
2,Men
3,Men
6,Men
